
    AUPRC score:32.90813930731484   FPR@TPR95:82.9486060312978
    AUPRC score:32.90808675064012   FPR@TPR95:82.94776297168563
    AUPRC score:38.35690620746883   FPR@TPR95:80.67243033972521
    AUPRC score:85.27970655699856   FPR@TPR95:79.33562578505459
    AUPRC score:85.28054115021743   FPR@TPR95:80.62989788550458
    AUPRC score:84.25726142302436   FPR@TPR95:88.12962049046756
    AUPRC score:32.34705245598285   FPR@TPR95:65.24819000216412
    AUPRC score:34.03496350057013   FPR@TPR95:65.50518615148985
    AUPRC score:12.668868277852487   FPR@TPR95:82.75251786526324
    AUPRC score:45.028430053375715   FPR@TPR95:85.77692183011884
    AUPRC score:52.20195071918642   FPR@TPR95:35.51431239566403
    AUPRC score:64.3821632809538   FPR@TPR95:62.80727863493934
    AUPRC score:60.203788763603626   FPR@TPR95:35.449584372585505
    AUPRC score:43.644870796561015   FPR@TPR95:63.675553379308234
    AUPRC score:72.879827631753   FPR@TPR95:100.0
    AUPRC score:53.79250662184257   FPR@TPR95:99.95238741901721
    AUPRC score:75.28795519510369   FPR@TPR95:98.56334943314378
    AUPRC score:40.058084177675   FPR@TPR95:98.6378102112421
    AUPRC score:41.81859960750694   FPR@TPR95:42.55763091883814

    AUPRC score:76.99072343323591   FPR@TPR95:56.86383037954786
    AUPRC score:45.938356712586206   FPR@TPR95:59.37549114963979
    AUPRC score:80.37806644939586   FPR@TPR95:100.0
    AUPRC score:75.85493397447753   FPR@TPR95:58.53970807379347
    AUPRC score:52.87651245070274   FPR@TPR95:36.15082901646945
    AUPRC score:40.01943458867586   FPR@TPR95:39.463699236003514
    AUPRC score:71.78926283930107   FPR@TPR95:77.11756525885102
    AUPRC score:80.37806644939586   FPR@TPR95:100.0
    AUPRC score:75.71731772324668   FPR@TPR95:52.92927264942971
    AUPRC score:30.510202021709116   FPR@TPR95:65.08495227715827
    AUPRC score:85.27092670876843   FPR@TPR95:76.63013753484634
    AUPRC score:84.84752671731766   FPR@TPR95:78.60485425919327
    AUPRC score:85.25114774655343   FPR@TPR95:80.56042447192219
    AUPRC score:89.5303403954818   FPR@TPR95:97.35968410031509
    AUPRC score:80.37806644939586   FPR@TPR95:100.0
    AUPRC score:40.749431262089345   FPR@TPR95:39.510072201560114
    AUPRC score:52.87651245070274   FPR@TPR95:36.15082901646945
    AUPRC score:71.8746326638129   FPR@TPR95:69.27322473714806
    AUPRC score:31.439307185960512   FPR@TPR95:83.32208744237579
    AUPRC score:85.25114774655343   FPR@TPR95:80.56042447192219
    AUPRC score:32.62161400478373   FPR@TPR95:65.45168703883124
    AUPRC score:39.01483233324708   FPR@TPR95:86.3840976413315
    AUPRC score:45.938356712586206   FPR@TPR95:59.37549114963979
    AUPRC score:32.346636116275285   FPR@TPR95:65.2494093089005
    AUPRC score:40.41893749095525   FPR@TPR95:62.794567536178505
    AUPRC score:34.033923968080806   FPR@TPR95:65.50715776352392

    AUPRC score:85.27927311022422   FPR@TPR95:79.3369118328166
    AUPRC score:84.25763299126868   FPR@TPR95:88.12891458220167
    AUPRC score:85.28956455687448   FPR@TPR95:80.59683819340478
    AUPRC score:32.90766386765706   FPR@TPR95:82.94456061529685
    AUPRC score:38.357180259345874   FPR@TPR95:80.67339323697163
    AUPRC score:36.092202832434225   FPR@TPR95:82.72081841628226
    AUPRC score:12.42162057388928   FPR@TPR95:82.5855053808665
    AUPRC score:15.58246421605349   FPR@TPR95:73.27394137101861
    AUPRC score:12.668717383606579   FPR@TPR95:82.75241842573546
    AUPRC score:40.282202656370345   FPR@TPR95:86.41540152502724
    AUPRC score:45.02648996119569   FPR@TPR95:85.77915613367801
    AUPRC score:42.98651926983138   FPR@TPR95:86.40068692259729
    AUPRC score:30.508985570741704   FPR@TPR95:65.08631761030267
    AUPRC score:31.50329018676955   FPR@TPR95:65.02517703960899
    AUPRC score:32.6206664640994   FPR@TPR95:65.4551872300776

    AUPRC score:84.8566583828999   FPR@TPR95:78.58230984316509
    AUPRC score:85.28046374533797   FPR@TPR95:76.59755992810155
    AUPRC score:85.26046021908932   FPR@TPR95:80.53019093058994
    AUPRC score:29.3356573450101   FPR@TPR95:87.13318056437859
    AUPRC score:31.439760103592114   FPR@TPR95:83.32437090221346
    AUPRC score:33.50589408744073   FPR@TPR95:82.71216305245778
    AUPRC score:12.187233781895083   FPR@TPR95:82.02544002451079
    AUPRC score:12.317929849920317   FPR@TPR95:82.31832261740027
    AUPRC score:12.460417262493737   FPR@TPR95:82.73923175700759
    AUPRC score:36.796199321357655   FPR@TPR95:87.12096278187657
    AUPRC score:39.0132745299283   FPR@TPR95:86.38501691547381
    AUPRC score:40.78345127581903   FPR@TPR95:86.39706477730184
    AUPRC score:52.20195071918642   FPR@TPR95:35.51431239566403
    AUPRC score:64.3821632809538   FPR@TPR95:62.80727863493934
    AUPRC score:60.203788763603626   FPR@TPR95:35.449584372585505
    AUPRC score:43.644870796561015   FPR@TPR95:63.675553379308234
    AUPRC score:72.879827631753   FPR@TPR95:100.0
